delivery_id,step,arc_id,u,v,length_km,risk,variable_cost,is_tunnel_edge,lat_u,lon_u,lat_v,lon_v
3,24,250216,3730313048,10061335737,0.019053,0.04981,0.019101,False,52.5261521,13.411183,52.5263168,13.4111053
3,25,327659,10061335737,3730313049,0.037317,0.049953,0.037411,False,52.5263168,13.4111053,52.5266402,13.4109579
3,26,404556,3730313049,3730313051,0.016406,0.050455,0.016447,False,52.5266402,13.4109579,52.5267874,13.4109745
3,27,-1,3730313051,604995590,0.081393,0.255443,0.081597,False,52.5267874,13.4109745,52.5274755,13.410571
3,28,327665,604995590,196746683,0.039906,0.050641,0.040006,False,52.5274755,13.410571,52.5278205,13.4104085
3,29,250214,196746683,12423006349,0.010858,0.051196,0.010886,False,52.5278205,13.4104085,52.5279147,13.4103662
3,30,250212,12423006349,3918673889,0.006928,0.051621,0.006945,False,52.5279147,13.4103662,52.5279748,13.4103392
3,31,250210,3918673889,29221556,0.01359,0.051154,0.013624,False,52.5279748,13.4103392,52.5280928,13.4102869
3,32,-1,29221556,98978100,0.053429,0.259843,0.053563,False,52.5280928,13.4102869,52.5285535,13.4101382
3,33,-1,98978100,29123430,0.023982,0.338319,0.024042,False,52.5285535,13.4101382,52.5287526,13.4100022
3,34,-1,29123430,262471605,0.043314,0.382222,0.043422,False,52.5287526,13.4100022,52.5290983,13.4097146
